Datetime,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2026-05-19 03:45:00+00:00,2327.39990234375,2337.0,2300.0,2300.0,0
2026-05-19 03:46:00+00:00,2336.60009765625,2337.89990234375,2326.800048828125,2326.800048828125,67204
2026-05-19 03:47:00+00:00,2340.5,2345.300048828125,2336.699951171875,2337.0,190783
2026-05-19 03:48:00+00:00,2346.199951171875,2351.39990234375,2339.89990234375,2340.39990234375,276383
2026-05-19 03:49:00+00:00,2353.0,2354.60009765625,2340.0,2346.60009765625,389207
2026-05-19 03:50:00+00:00,2357.199951171875,2362.5,2352.5,2352.5,80641
2026-05-19 03:51:00+00:00,2356.699951171875,2366.199951171875,2348.800048828125,2357.89990234375,476939
2026-05-19 03:52:00+00:00,2369.10009765625,2369.10009765625,2354.800048828125,2355.699951171875,143280
2026-05-19 03:53:00+00:00,2356.699951171875,2370.0,2356.10009765625,2368.10009765625,291187
2026-05-19 03:54:00+00:00,2349.10009765625,2361.300048828125,2349.10009765625,2357.300048828125,325189
2026-05-19 03:55:00+00:00,2343.300048828125,2349.800048828125,2342.89990234375,2349.5,100410
2026-05-19 03:56:00+00:00,2338.89990234375,2347.300048828125,2337.89990234375,2343.699951171875,58145
2026-05-19 03:57:00+00:00,2344.0,2346.199951171875,2339.89990234375,2339.89990234375,30436
2026-05-19 03:58:00+00:00,2343.699951171875,2346.89990234375,2342.5,2344.10009765625,24000
2026-05-19 03:59:00+00:00,2351.699951171875,2351.699951171875,2342.0,2343.800048828125,42018
2026-05-19 04:00:00+00:00,2353.800048828125,2356.199951171875,2352.0,2352.5,31201
2026-05-19 04:01:00+00:00,2352.800048828125,2356.0,2348.60009765625,2353.60009765625,138501
2026-05-19 04:02:00+00:00,2355.0,2355.89990234375,2352.39990234375,2352.89990234375,26105
2026-05-19 04:03:00+00:00,2358.89990234375,2358.89990234375,2354.300048828125,2355.199951171875,217417
2026-05-19 04:04:00+00:00,2358.0,2363.10009765625,2358.0,2359.10009765625,62608
2026-05-19 04:05:00+00:00,2362.60009765625,2363.89990234375,2355.800048828125,2358.89990234375,30719
2026-05-19 04:06:00+00:00,2362.699951171875,2364.5,2360.10009765625,2362.5,55578
2026-05-19 04:07:00+00:00,2372.60009765625,2372.60009765625,2362.89990234375,2362.89990234375,79402
2026-05-19 04:08:00+00:00,2366.199951171875,2377.10009765625,2366.0,2371.199951171875,177240
2026-05-19 04:09:00+00:00,2360.0,2367.89990234375,2358.800048828125,2367.0,91946
2026-05-19 04:10:00+00:00,2364.300048828125,2365.0,2360.300048828125,2360.300048828125,27184
2026-05-19 04:11:00+00:00,2352.60009765625,2365.800048828125,2352.0,2365.0,691891
2026-05-19 04:12:00+00:00,2349.0,2352.699951171875,2347.5,2352.699951171875,67717
2026-05-19 04:13:00+00:00,2352.5,2353.800048828125,2349.0,2349.0,22996
2026-05-19 04:14:00+00:00,2353.699951171875,2356.800048828125,2352.5,2352.5,20927
2026-05-19 04:15:00+00:00,2353.39990234375,2354.0,2351.199951171875,2354.0,12461
2026-05-19 04:16:00+00:00,2353.300048828125,2356.39990234375,2351.800048828125,2353.199951171875,9692
2026-05-19 04:17:00+00:00,2347.89990234375,2353.0,2346.300048828125,2353.0,24479
2026-05-19 04:18:00+00:00,2347.39990234375,2348.699951171875,2345.0,2347.699951171875,23123
2026-05-19 04:19:00+00:00,2346.300048828125,2348.800048828125,2346.0,2347.0,19501
2026-05-19 04:20:00+00:00,2346.800048828125,2347.5,2344.5,2346.89990234375,17663
2026-05-19 04:21:00+00:00,2346.800048828125,2348.10009765625,2344.5,2346.199951171875,14188
2026-05-19 04:22:00+00:00,2348.10009765625,2348.10009765625,2344.199951171875,2346.5,15916
2026-05-19 04:23:00+00:00,2347.60009765625,2348.699951171875,2346.10009765625,2348.300048828125,29566
2026-05-19 04:24:00+00:00,2347.39990234375,2348.300048828125,2346.60009765625,2346.699951171875,11632
2026-05-19 04:25:00+00:00,2350.60009765625,2352.10009765625,2347.39990234375,2347.89990234375,13446
2026-05-19 04:26:00+00:00,2350.800048828125,2351.60009765625,2350.0,2350.800048828125,6645
2026-05-19 04:27:00+00:00,2351.60009765625,2352.0,2350.0,2350.800048828125,7205
2026-05-19 04:28:00+00:00,2347.39990234375,2352.0,2347.39990234375,2352.0,9870
2026-05-19 04:29:00+00:00,2348.10009765625,2349.10009765625,2347.0,2347.199951171875,10003
2026-05-19 04:30:00+00:00,2351.89990234375,2352.0,2348.39990234375,2348.60009765625,8040
2026-05-19 04:31:00+00:00,2352.5,2353.0,2351.199951171875,2352.0,15783
2026-05-19 04:32:00+00:00,2354.0,2354.800048828125,2352.39990234375,2352.5,12925
2026-05-19 04:33:00+00:00,2352.800048828125,2354.0,2351.699951171875,2354.0,7172
2026-05-19 04:34:00+00:00,2350.39990234375,2354.0,2349.60009765625,2353.0,21960
2026-05-19 04:35:00+00:00,2355.0,2355.89990234375,2349.800048828125,2350.39990234375,20501
2026-05-19 04:36:00+00:00,2354.39990234375,2355.89990234375,2352.89990234375,2355.5,7900
2026-05-19 04:37:00+00:00,2354.89990234375,2356.0,2352.800048828125,2354.800048828125,18178
2026-05-19 04:38:00+00:00,2355.89990234375,2357.199951171875,2355.10009765625,2355.10009765625,21490
2026-05-19 04:39:00+00:00,2355.10009765625,2357.0,2355.0,2355.89990234375,8318
2026-05-19 04:40:00+00:00,2356.300048828125,2356.89990234375,2354.60009765625,2355.199951171875,9581
2026-05-19 04:41:00+00:00,2356.199951171875,2357.60009765625,2355.60009765625,2357.0,8799
2026-05-19 04:42:00+00:00,2356.800048828125,2357.0,2356.0,2356.39990234375,6871
2026-05-19 04:43:00+00:00,2355.60009765625,2356.800048828125,2355.10009765625,2356.800048828125,10439
2026-05-19 04:44:00+00:00,2355.199951171875,2356.0,2355.0,2355.60009765625,7881
2026-05-19 04:45:00+00:00,2355.5,2355.5,2355.5,2355.5,0
