Datetime,Close,High,Low,Open,Volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
2026-05-19 03:45:00+00:00,1338.9000244140625,1339.699951171875,1337.5999755859375,1339.699951171875,0
2026-05-19 03:46:00+00:00,1338.0999755859375,1339.9000244140625,1336.300048828125,1339.5,66032
2026-05-19 03:47:00+00:00,1339.0,1340.0999755859375,1336.5,1337.5,57313
2026-05-19 03:48:00+00:00,1338.699951171875,1338.800048828125,1337.199951171875,1338.800048828125,67355
2026-05-19 03:49:00+00:00,1339.5999755859375,1340.0,1338.0,1338.699951171875,119409
2026-05-19 03:50:00+00:00,1340.300048828125,1340.800048828125,1338.800048828125,1340.0,49373
2026-05-19 03:51:00+00:00,1338.5,1340.199951171875,1338.4000244140625,1340.0999755859375,68214
2026-05-19 03:52:00+00:00,1339.800048828125,1339.800048828125,1338.199951171875,1338.4000244140625,36134
2026-05-19 03:53:00+00:00,1338.9000244140625,1339.199951171875,1338.5,1339.0,25232
2026-05-19 03:54:00+00:00,1339.699951171875,1339.800048828125,1338.9000244140625,1339.0,21092
2026-05-19 03:55:00+00:00,1340.9000244140625,1341.0,1340.4000244140625,1340.9000244140625,42685
2026-05-19 03:56:00+00:00,1340.0999755859375,1341.699951171875,1340.0999755859375,1340.9000244140625,35919
2026-05-19 03:57:00+00:00,1343.0,1344.0,1340.5999755859375,1340.5999755859375,92344
2026-05-19 03:58:00+00:00,1343.699951171875,1344.0,1343.0,1343.5,95743
2026-05-19 03:59:00+00:00,1341.199951171875,1344.0,1340.5,1344.0,110148
2026-05-19 04:00:00+00:00,1341.699951171875,1342.199951171875,1341.199951171875,1341.199951171875,75451
2026-05-19 04:01:00+00:00,1340.5,1341.800048828125,1340.0,1341.699951171875,77066
2026-05-19 04:02:00+00:00,1340.0,1341.0,1339.0,1341.0,42923
2026-05-19 04:03:00+00:00,1339.199951171875,1340.0,1339.0999755859375,1339.699951171875,20966
2026-05-19 04:04:00+00:00,1338.9000244140625,1339.199951171875,1338.699951171875,1339.199951171875,18652
2026-05-19 04:05:00+00:00,1337.5999755859375,1338.300048828125,1337.199951171875,1337.9000244140625,65806
2026-05-19 04:06:00+00:00,1336.300048828125,1337.5999755859375,1335.0999755859375,1337.5999755859375,55743
2026-05-19 04:07:00+00:00,1337.5,1338.0999755859375,1336.5,1336.5999755859375,46166
2026-05-19 04:08:00+00:00,1337.800048828125,1338.300048828125,1337.300048828125,1337.9000244140625,14830
2026-05-19 04:09:00+00:00,1338.800048828125,1338.9000244140625,1337.5999755859375,1337.800048828125,18187
2026-05-19 04:10:00+00:00,1340.0,1340.0999755859375,1338.800048828125,1338.800048828125,22515
2026-05-19 04:11:00+00:00,1341.699951171875,1341.800048828125,1340.4000244140625,1340.4000244140625,32559
2026-05-19 04:12:00+00:00,1342.0,1342.0999755859375,1341.0,1341.699951171875,32271
2026-05-19 04:13:00+00:00,1341.800048828125,1342.5,1341.4000244140625,1342.0999755859375,38011
2026-05-19 04:14:00+00:00,1341.800048828125,1342.4000244140625,1341.699951171875,1342.0,31440
2026-05-19 04:15:00+00:00,1340.4000244140625,1341.800048828125,1340.300048828125,1341.800048828125,34015
2026-05-19 04:16:00+00:00,1339.5,1340.5999755859375,1339.199951171875,1340.5999755859375,137466
2026-05-19 04:17:00+00:00,1341.300048828125,1341.300048828125,1339.300048828125,1339.5,17237
2026-05-19 04:18:00+00:00,1341.0,1342.0999755859375,1340.9000244140625,1341.300048828125,43751
2026-05-19 04:19:00+00:00,1341.300048828125,1341.4000244140625,1340.0,1340.5,29384
2026-05-19 04:20:00+00:00,1341.9000244140625,1342.0,1341.0999755859375,1341.300048828125,30683
2026-05-19 04:21:00+00:00,1340.5,1341.9000244140625,1340.199951171875,1341.9000244140625,51167
2026-05-19 04:22:00+00:00,1339.9000244140625,1340.9000244140625,1339.699951171875,1340.5999755859375,103317
2026-05-19 04:23:00+00:00,1340.4000244140625,1341.199951171875,1339.9000244140625,1340.0,118567
2026-05-19 04:24:00+00:00,1339.800048828125,1340.9000244140625,1339.800048828125,1340.4000244140625,48515
2026-05-19 04:25:00+00:00,1339.199951171875,1339.800048828125,1338.5999755859375,1339.800048828125,26140
2026-05-19 04:26:00+00:00,1338.800048828125,1339.300048828125,1338.800048828125,1339.300048828125,11386
2026-05-19 04:27:00+00:00,1340.0,1340.0,1338.5999755859375,1338.9000244140625,24471
2026-05-19 04:28:00+00:00,1339.4000244140625,1340.699951171875,1339.0,1340.0,30791
2026-05-19 04:29:00+00:00,1338.5999755859375,1339.699951171875,1338.5999755859375,1339.699951171875,12875
2026-05-19 04:30:00+00:00,1339.4000244140625,1339.5,1338.5,1338.699951171875,28356
2026-05-19 04:31:00+00:00,1339.9000244140625,1340.0,1339.0999755859375,1339.199951171875,11463
2026-05-19 04:32:00+00:00,1340.699951171875,1340.699951171875,1339.800048828125,1339.9000244140625,22932
2026-05-19 04:33:00+00:00,1340.4000244140625,1340.5999755859375,1340.0,1340.300048828125,27097
2026-05-19 04:34:00+00:00,1339.5,1340.5,1339.5,1340.5,29982
2026-05-19 04:35:00+00:00,1341.0999755859375,1341.199951171875,1339.5,1339.5999755859375,88247
2026-05-19 04:36:00+00:00,1340.5,1340.9000244140625,1340.300048828125,1340.300048828125,74808
2026-05-19 04:37:00+00:00,1339.5,1340.699951171875,1339.0999755859375,1340.5999755859375,66591
2026-05-19 04:38:00+00:00,1340.0,1340.699951171875,1339.4000244140625,1339.5,47541
2026-05-19 04:39:00+00:00,1339.699951171875,1340.0,1339.5999755859375,1340.0,12669
2026-05-19 04:40:00+00:00,1340.4000244140625,1340.5,1339.199951171875,1340.0,17147
2026-05-19 04:41:00+00:00,1340.9000244140625,1341.199951171875,1340.300048828125,1340.300048828125,58509
2026-05-19 04:42:00+00:00,1341.5999755859375,1342.9000244140625,1340.9000244140625,1341.0999755859375,45647
2026-05-19 04:43:00+00:00,1342.0999755859375,1342.199951171875,1341.5,1341.699951171875,21672
2026-05-19 04:44:00+00:00,1341.9000244140625,1342.5999755859375,1341.9000244140625,1342.199951171875,32566
2026-05-19 04:45:00+00:00,1342.199951171875,1342.199951171875,1342.199951171875,1342.199951171875,0
